date,commodity,contract,settlement_eur
2008-07-03,ele,CAL09,88.6
2008-07-06,ele,CAL09,87.3
2008-07-07,ele,CAL09,87.3
2008-07-08,ele,CAL09,86.25
2008-07-09,ele,CAL09,83.8
2008-07-10,ele,CAL09,87.9
2008-07-13,ele,CAL09,87.9
2008-07-14,ele,CAL09,86.6
2008-07-15,ele,CAL09,84.15
2008-07-16,ele,CAL09,84.15
2008-07-17,ele,CAL09,80.1
2008-07-20,ele,CAL09,79.15
2008-07-21,ele,CAL09,79.05
2008-07-22,ele,CAL09,76.55
2008-07-23,ele,CAL09,77.9
2008-07-24,ele,CAL09,79.9
2008-07-27,ele,CAL09,78.0
2008-07-28,ele,CAL09,77.15
2008-07-29,ele,CAL09,76.0
2008-07-30,ele,CAL09,76.0
2008-07-31,ele,CAL09,77.9
2008-08-03,ele,CAL09,77.7
2008-08-04,ele,CAL09,75.5
2008-08-05,ele,CAL09,75.0
2008-08-06,ele,CAL09,77.0
2008-08-07,ele,CAL09,77.0
2008-08-10,ele,CAL09,77.5
2008-08-11,ele,CAL09,77.5
2008-08-12,ele,CAL09,79.0
2008-08-13,ele,CAL09,80.25
2008-08-14,ele,CAL09,79.85
2008-08-17,ele,CAL09,81.2
2008-08-18,ele,CAL09,81.2
2008-08-19,ele,CAL09,83.0
2008-08-20,ele,CAL09,84.6
2008-08-21,ele,CAL09,84.6
2008-08-24,ele,CAL09,83.75
2008-08-25,ele,CAL09,82.8
2008-08-26,ele,CAL09,84.2
2008-08-27,ele,CAL09,84.2
2008-08-28,ele,CAL09,84.2
2008-08-31,ele,CAL09,84.15
2008-09-01,ele,CAL09,81.7
2008-09-02,ele,CAL09,80.85
2008-09-03,ele,CAL09,81.4
2008-09-04,ele,CAL09,80.5
2008-09-07,ele,CAL09,80.5
2008-09-08,ele,CAL09,78.6
2008-09-09,ele,CAL09,78.6
2008-09-10,ele,CAL09,78.25
2008-09-11,ele,CAL09,78.7
2008-09-14,ele,CAL09,76.5
2008-09-15,ele,CAL09,74.5
2008-09-16,ele,CAL09,77.35
2008-09-17,ele,CAL09,78.8
2008-09-18,ele,CAL09,80.25
2008-09-21,ele,CAL09,81.6
2008-09-22,ele,CAL09,81.6
2008-09-23,ele,CAL09,81.25
2008-09-24,ele,CAL09,79.8
2008-09-25,ele,CAL09,79.3
2008-09-28,ele,CAL09,78.1
2008-09-29,ele,CAL09,76.8
2008-09-30,ele,CAL09,78.4
2008-10-01,ele,CAL09,79.9
2008-10-02,ele,CAL09,79.9
2008-10-05,ele,CAL09,78.0
2008-10-06,ele,CAL09,78.0
2008-10-07,ele,CAL09,76.25
2008-10-08,ele,CAL09,77.0
2008-10-09,ele,CAL09,74.4
2008-10-12,ele,CAL09,75.5
2008-10-13,ele,CAL09,76.8
2008-10-14,ele,CAL09,74.0
2008-10-15,ele,CAL09,72.5
2008-10-16,ele,CAL09,72.15
2008-10-19,ele,CAL09,72.8
2008-10-20,ele,CAL09,73.25
2008-10-21,ele,CAL09,72.0
2008-10-22,ele,CAL09,72.0
2008-10-23,ele,CAL09,70.6
2008-10-26,ele,CAL09,68.75
2008-10-28,ele,CAL09,68.75
2008-10-29,ele,CAL09,68.75
2008-10-30,ele,CAL09,67.8
2008-11-02,ele,CAL09,68.25
2008-11-03,ele,CAL09,68.25
2008-11-04,ele,CAL09,68.95
2008-11-05,ele,CAL09,68.4
2008-11-06,ele,CAL09,68.4
2008-11-09,ele,CAL09,68.9
2008-11-10,ele,CAL09,67.4
2008-11-11,ele,CAL09,66.0
2008-11-12,ele,CAL09,64.8
2008-11-13,ele,CAL09,64.45
2008-11-17,ele,CAL09,61.4
2008-11-18,ele,CAL09,61.0
2008-11-19,ele,CAL09,57.9
2008-11-20,ele,CAL09,57.3
2008-11-23,ele,CAL09,56.35
2008-11-24,ele,CAL09,57.25
2008-11-25,ele,CAL09,57.25
2008-11-26,ele,CAL09,60.8
2008-11-27,ele,CAL09,60.4
2008-11-30,ele,CAL09,57.6
2008-12-01,ele,CAL09,57.0
2008-12-02,ele,CAL09,55.0
2008-12-03,ele,CAL09,54.5
2008-12-04,ele,CAL09,54.25
2008-12-07,ele,CAL09,55.4
2008-12-08,ele,CAL09,55.9
2008-12-09,ele,CAL09,56.9
2008-12-10,ele,CAL09,58.8
2008-12-11,ele,CAL09,57.5
2008-12-14,ele,CAL09,57.5
2008-12-15,ele,CAL09,56.5
2008-12-16,ele,CAL09,56.25
2008-12-17,ele,CAL09,55.2
2008-12-18,ele,CAL09,55.75
2008-12-21,ele,CAL09,56.25
2008-12-22,ele,CAL09,55.75
2008-12-28,ele,CAL09,56.75
2008-12-29,ele,CAL09,56.75
2009-01-01,ele,CAL10,56.55
2009-01-04,ele,CAL10,57.2
2009-01-05,ele,CAL10,58.85
