date,commodity,contract,settlement_eur
2016-04-17,gas,CAL17,13.55
2016-04-18,gas,CAL17,13.85
2016-04-19,gas,CAL17,14.0
2016-04-20,gas,CAL17,14.7
2016-04-21,gas,CAL17,15.275
2016-04-24,gas,CAL17,15.325
2016-04-25,gas,CAL17,16.0
2016-04-26,gas,CAL17,16.375
2016-04-27,gas,CAL17,15.1
2016-04-28,gas,CAL17,15.325
2016-05-01,gas,CAL17,14.6
2016-05-02,gas,CAL17,14.625
2016-05-03,gas,CAL17,14.95
2016-05-04,gas,CAL17,15.45
2016-05-05,gas,CAL17,15.25
2016-05-08,gas,CAL17,15.475
2016-05-09,gas,CAL17,15.125
2016-05-10,gas,CAL17,15.225
2016-05-11,gas,CAL17,15.325
2016-05-12,gas,CAL17,15.3
2016-05-15,gas,CAL17,15.425
2016-05-16,gas,CAL17,15.5
2016-05-17,gas,CAL17,15.525
2016-05-18,gas,CAL17,15.25
2016-05-19,gas,CAL17,15.3
2016-05-22,gas,CAL17,15.1
2016-05-23,gas,CAL17,15.075
2016-05-24,gas,CAL17,15.5
2016-05-25,gas,CAL17,15.6
2016-05-26,gas,CAL17,15.725
2016-05-29,gas,CAL17,15.675
2016-05-30,gas,CAL17,16.025
2016-05-31,gas,CAL17,15.675
2016-06-01,gas,CAL17,16.075
2016-06-02,gas,CAL17,16.15
2016-06-05,gas,CAL17,16.5
2016-06-06,gas,CAL17,16.925
2016-06-07,gas,CAL17,16.925
2016-06-08,gas,CAL17,16.5
2016-06-09,gas,CAL17,16.225
2016-06-12,gas,CAL17,16.075
2016-06-13,gas,CAL17,16.225
2016-06-14,gas,CAL17,16.35
2016-06-15,gas,CAL17,16.375
2016-06-16,gas,CAL17,16.725
2016-06-19,gas,CAL17,17.3
2016-06-20,gas,CAL17,17.25
2016-06-21,gas,CAL17,17.65
2016-06-22,gas,CAL17,17.6
2016-06-23,gas,CAL17,17.275
2016-06-26,gas,CAL17,16.675
2016-06-27,gas,CAL17,16.675
2016-06-28,gas,CAL17,16.95
2016-06-29,gas,CAL17,16.7
2016-06-30,gas,CAL17,16.95
2016-07-03,gas,CAL17,17.3
2016-07-06,gas,CAL17,17.21
2016-07-07,gas,CAL17,16.875
2016-07-10,gas,CAL17,16.725
2016-07-11,gas,CAL17,16.95
2016-07-12,gas,CAL17,16.975
2016-07-13,gas,CAL17,16.875
2016-07-14,gas,CAL17,16.9
2016-07-17,gas,CAL17,17.175
2016-07-18,gas,CAL17,17.1
2016-07-19,gas,CAL17,17.125
2016-07-20,gas,CAL17,17.375
2016-07-21,gas,CAL17,17.2
2016-07-24,gas,CAL17,17.15
2016-07-25,gas,CAL17,17.0
2016-07-26,gas,CAL17,17.075
2016-07-27,gas,CAL17,16.925
2016-07-28,gas,CAL17,16.75
2016-07-31,gas,CAL17,16.375
2016-08-01,gas,CAL17,16.325
2016-08-02,gas,CAL17,16.175
2016-08-03,gas,CAL17,16.1
2016-08-04,gas,CAL17,16.0
2016-08-07,gas,CAL17,16.05
2016-08-08,gas,CAL17,16.025
2016-08-09,gas,CAL17,16.1
2016-08-10,gas,CAL17,15.9
2016-08-11,gas,CAL17,15.925
2016-08-14,gas,CAL17,15.75
2016-08-15,gas,CAL17,15.95
2016-08-16,gas,CAL17,16.05
2016-08-17,gas,CAL17,16.15
2016-08-18,gas,CAL17,15.9
2016-08-21,gas,CAL17,15.575
2016-08-22,gas,CAL17,15.625
2016-08-23,gas,CAL17,15.625
2016-08-24,gas,CAL17,15.55
2016-08-25,gas,CAL17,15.7
2016-08-28,gas,CAL17,15.7
2016-08-29,gas,CAL17,15.7
2016-08-30,gas,CAL17,15.55
2016-08-31,gas,CAL17,15.35
2016-09-01,gas,CAL17,15.425
2016-09-04,gas,CAL17,15.35
2016-09-05,gas,CAL17,15.275
2016-09-06,gas,CAL17,15.1
2016-09-07,gas,CAL17,15.075
2016-09-08,gas,CAL17,15.0
2016-09-11,gas,CAL17,14.925
2016-09-12,gas,CAL17,15.0
2016-09-13,gas,CAL17,14.9
2016-09-14,gas,CAL17,15.1
2016-09-15,gas,CAL17,15.225
2016-09-18,gas,CAL17,15.4
2016-09-19,gas,CAL17,15.25
2016-09-20,gas,CAL17,15.55
2016-09-21,gas,CAL17,15.775
2016-09-22,gas,CAL17,16.0
2016-09-25,gas,CAL17,15.9
2016-09-26,gas,CAL17,15.475
2016-09-28,gas,CAL17,15.95
2016-09-29,gas,CAL17,15.825
2016-10-02,gas,CAL17,15.95
2016-10-03,gas,CAL17,16.1
2016-10-04,gas,CAL17,16.5
2016-10-05,gas,CAL17,16.825
2016-10-06,gas,CAL17,16.4
2016-10-09,gas,CAL17,16.35
2016-10-10,gas,CAL17,15.975
2016-10-11,gas,CAL17,16.05
2016-10-12,gas,CAL17,16.2
2016-10-13,gas,CAL17,16.5
2016-10-16,gas,CAL17,16.65
2016-10-17,gas,CAL17,16.875
2016-10-18,gas,CAL17,16.825
2016-10-19,gas,CAL17,16.95
2016-10-20,gas,CAL17,16.85
2016-10-23,gas,CAL17,17.125
2016-10-24,gas,CAL17,17.3
2016-10-25,gas,CAL17,17.15
2016-10-26,gas,CAL17,17.275
2016-10-30,gas,CAL17,17.35
2016-10-31,gas,CAL17,17.675
2016-11-01,gas,CAL17,17.925
2016-11-02,gas,CAL17,17.975
2016-11-03,gas,CAL17,17.575
2016-11-06,gas,CAL17,17.35
2016-11-07,gas,CAL17,16.975
2016-11-08,gas,CAL17,17.15
2016-11-09,gas,CAL17,17.225
2016-11-10,gas,CAL17,17.1
